natx =      464
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.30274     -1.35200      0.00332   2      1.87751
      1.30337      1.35203     -0.00476   2      1.87797
     -9.15054      1.35699     -3.81645   2     10.00695
     -1.24792      1.10010      9.87467   1     10.01382
      7.70695      5.29851      3.59938   3     10.02132
     -0.19145      5.61336     -8.30005   3     10.02184
      1.35353     -1.09503     -9.87371   1     10.02603
      2.41507      5.20338      8.27011   3     10.06491
      1.26460     -1.59865      9.87376   1     10.08197
     -1.34144      1.59898     -9.87503   1     10.09319
     -6.49617     -6.75332     -3.79991   2     10.11172
     -5.01563      2.91254     -8.29437   3     10.12107
      6.48583      6.76549     -3.83243   2     10.12548
      6.54495      6.75476      3.79088   2     10.14071
      7.70659     -5.51742      3.63171   3     10.15001
     -6.54398     -6.76555      3.83114   2     10.16238
     -2.79698      5.20320      8.27005   3     10.16317
     -5.11330     -8.00796     -3.61678   3     10.16633
      7.68762      5.28667     -4.04683   3     10.16982
     -7.92924      5.29797      3.59919   3     10.19291
      5.40831     -2.49507     -8.27808   3     10.19813
     -3.90905     -9.46408      0.02751   2     10.23964
      3.90968      9.46411     -0.02895   2     10.23991
      6.51582      1.32942      7.78737   2     10.24043
     -6.51490     -1.32925     -7.78871   2     10.24084
     -6.51459     -1.37524      7.79525   2     10.25169
      6.51552      1.37541     -7.79659   2     10.25332
      1.27322     -9.45858     -3.78399   2     10.26666
      5.31082     -8.00760     -3.61666   3     10.26678
     -1.33138      9.45852      3.78271   2     10.27351
      7.68726     -5.52926     -4.01450   3     10.28508
     -1.28357      9.47076     -3.84835   2     10.30304
      1.33234     -9.46931      3.83932   2     10.30453
     -5.08325     -7.98682      4.06913   3     10.30469
      2.41472     -5.61255      8.30245   3     10.30836
      5.02055     -5.24838      7.31631   3     10.30921
     -7.92959     -5.51796      3.63152   3     10.32057
      5.40849      2.91289     -8.29424   3     10.32139
     -5.11276      8.21594     -3.66528   3     10.34777
      1.30394      6.73721      7.77114   2     10.36730
     -1.30302     -6.73704     -7.77248   2     10.36808
     -7.94856      5.28613     -4.04702   3     10.36828
     -2.79735     -5.61273      8.30238   3     10.40468
    -10.42410     -0.00036     -0.00013   3     10.42410
     10.42410      0.00036      0.00013   3     10.42410
     -1.30271     -6.78303      7.81148   2     10.42716
      1.30364      6.78320     -7.81282   2     10.42840
      5.34087     -7.98646      4.06926   3     10.43395
      5.31136      8.21630     -3.66516   3     10.44756
      5.02091      5.56754      7.28398   3     10.45291
     -5.08271      8.23708      4.02063   3     10.48088
     -7.94892     -5.52980     -4.01469   3     10.48245
     -5.40357     -5.24874      7.31618   3     10.50116
      7.62665     -0.15841     -7.29762   3     10.55681
      5.34141      8.23743      4.02076   3     10.60907
     -5.40321      5.56719      7.28385   3     10.64156
      1.26478      3.80931      9.85760   1     10.64344
     -1.34162     -3.80899     -9.85886   1     10.65389
      9.09257      4.05091      3.79900   2     10.65444
     -3.85853     -1.09521     -9.87377   1     10.65735
     -9.09160     -4.06170      3.82303   2     10.66631
      3.96414      1.10028      9.87473   1     10.69744
     -9.15072     -4.05098     -3.80029   2     10.70459
      9.14038      4.06315     -3.83205   2     10.71169
      3.87062      1.59916     -9.87497   1     10.72632
     -3.94746     -1.59883      9.87370   1     10.75308
    -10.42390      2.70358     -0.00818   3     10.76880
     10.42420     -2.70367      0.00824   3     10.76912
    -10.42410     -2.70438      0.00798   3     10.76920
     10.42430      2.70430     -0.00793   3     10.76937
     -9.07028     -1.14138      5.71013   1     10.77860
      0.19637     -7.94920      7.32199   3     10.80925
     -0.00036    -10.81590      0.03233   3     10.81595
      0.00036     10.81590     -0.03233   3     10.81595
     -8.00953     -0.15895     -7.29781   3     10.83678
     -6.46011      6.55388     -5.72552   1     10.83826
      9.08299      1.55334      5.70906   1     10.84006
     -7.62238      2.54135     -7.30404   3     10.85855
     -1.24810     -4.30786      9.89084   1     10.86021
      9.17590      1.14645     -5.70917   1     10.86766
      1.35371      4.31294     -9.88987   1     10.87398
      6.56572     -6.54880      5.72649   1     10.89900
      3.88069      9.45870      3.78277   2     10.90120
     -9.15982     -1.55302     -5.71033   1     10.90514
     -6.51441      4.03272      7.77909   2     10.91854
      6.51534     -4.03256     -7.78043   2     10.91999
     -3.93884     -9.45876     -3.78406   2     10.92253
     -7.62256     -2.86662     -7.28787   3     10.92859
     10.31210      0.10563     -3.61953   3     10.92939
     -3.87972     -9.46949      3.83926   2     10.92993
      3.92850      9.47094     -3.84828   2     10.95176
      6.51564     -4.07855      7.80354   2     10.95369
     -6.51472      4.07871     -7.80488   2     10.95416
      1.26466      9.26327     -5.74254   1     10.97198
     -1.34149     -9.26294      5.74127   1     10.98016
      5.02025     -5.20240     -8.26766   3     10.98281
     -3.90812      6.73703      7.77108   2     11.00230
      3.90904     -6.73686     -7.77242   2     11.00347
      0.19692      8.27469      7.27349   3     11.01875
      3.90935     -6.78285      7.81155   2     11.05940
     -3.90842      6.78302     -7.81289   2     11.06012
     10.29620      0.12495      4.03759   3     11.06027
     -2.41014      7.94949     -7.32014   3     11.07193
      6.47618     -6.96045     -5.69397   1     11.08197
     -2.60558     10.81570     -0.03327   3     11.12518
      2.60576    -10.81600      0.03146   3     11.12550
      2.60648     10.81590     -0.03320   3     11.12558
     -2.60630    -10.81620      0.03140   3     11.12582
     -6.55301      6.96077      5.69271   1     11.12660
      8.01380      2.54188     -7.30385   3     11.13680
    -10.53610      0.10491     -3.61978   3     11.14106
     -5.40388     -5.20275     -8.26778   3     11.16363
      2.80192      7.94967     -7.32008   3     11.16385
      8.01362     -2.86608     -7.28768   3     11.20459
      5.02061      5.61353     -8.29999   3     11.20750
    -10.32520     -2.60017     -3.63301   3     11.25031
      3.87044     -3.80881     -9.85880   1     11.25537
      7.62696     -0.20440      8.28634   3     11.26391
     -7.81759      8.11163     -0.02512   3     11.26561
      7.81805     -8.11172      0.02357   3     11.26599
     -7.81813     -8.11226      0.02338   3     11.26643
      7.81859      8.11217     -0.02493   3     11.26669
     -2.41068     -8.27440     -7.27164   3     11.27625
     -3.94728      3.80913      9.85754   1     11.28103
     -1.24859     -9.66984     -5.67696   1     11.28240
     -0.11237    -10.71070     -3.58732   3     11.29604
    -10.55210      0.12423      4.03733   3     11.29877
      1.35420      9.67491      5.67793   1     11.29941
    -10.32500      2.80780     -3.64918   3     11.30513
     -9.12057      6.75964     -0.02105   2     11.35244
      9.12120     -6.75960      0.01961   2     11.35292
    -10.29510     -2.57903      4.05290   3     11.36074
      2.80138     -8.27423     -7.27158   3     11.36602
     -5.40351      5.61318     -8.30011   3     11.38409
      9.08281     -3.85462      5.72523   1     11.40762
