 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5708580193E+01    0.7654760892E+01
    0.1584612949E-03    0.5708580090E+01    0.7654760786E+01
    0.1665857792E-03    0.5708579876E+01    0.7654760570E+01
    0.1751268148E-03    0.5708579547E+01    0.7654760235E+01
    0.1841057586E-03    0.5708579094E+01    0.7654759774E+01
    0.1935450626E-03    0.5708578508E+01    0.7654759179E+01
    0.2034683302E-03    0.5708577780E+01    0.7654758440E+01
    0.2139003746E-03    0.5708576899E+01    0.7654757544E+01
    0.2248672813E-03    0.5708575852E+01    0.7654756481E+01
    0.2363964733E-03    0.5708574626E+01    0.7654755236E+01
    0.2485167797E-03    0.5708573206E+01    0.7654753793E+01
    0.2612585075E-03    0.5708571573E+01    0.7654752135E+01
    0.2746535176E-03    0.5708569710E+01    0.7654750242E+01
    0.2887353046E-03    0.5708567595E+01    0.7654748093E+01
    0.3035390802E-03    0.5708565204E+01    0.7654745664E+01
    0.3191018616E-03    0.5708562511E+01    0.7654742928E+01
    0.3354625639E-03    0.5708559487E+01    0.7654739855E+01
    0.3526620974E-03    0.5708556099E+01    0.7654736414E+01
    0.3707434697E-03    0.5708552312E+01    0.7654732567E+01
    0.3897518939E-03    0.5708548087E+01    0.7654728274E+01
    0.4097349008E-03    0.5708543378E+01    0.7654723491E+01
    0.4307424584E-03    0.5708538139E+01    0.7654718168E+01
    0.4528270965E-03    0.5708532315E+01    0.7654712251E+01
    0.4760440382E-03    0.5708525847E+01    0.7654705680E+01
    0.5004513380E-03    0.5708518669E+01    0.7654698388E+01
    0.5261100268E-03    0.5708510709E+01    0.7654690301E+01
    0.5530842647E-03    0.5708501886E+01    0.7654681337E+01
    0.5814415013E-03    0.5708492111E+01    0.7654671407E+01
    0.6112526445E-03    0.5708481288E+01    0.7654660412E+01
    0.6425922378E-03    0.5708469307E+01    0.7654648240E+01
    0.6755386463E-03    0.5708456049E+01    0.7654634771E+01
    0.7101742534E-03    0.5708441382E+01    0.7654619871E+01
    0.7465856660E-03    0.5708425161E+01    0.7654603391E+01
    0.7848639316E-03    0.5708407223E+01    0.7654585168E+01
    0.8251047659E-03    0.5708387392E+01    0.7654565021E+01
    0.8674087919E-03    0.5708365471E+01    0.7654542750E+01
    0.9118817916E-03    0.5708341243E+01    0.7654518137E+01
    0.9586349708E-03    0.5708314469E+01    0.7654490937E+01
    0.1007785237E-02    0.5708284885E+01    0.7654460882E+01
    0.1059455491E-02    0.5708252199E+01    0.7654427676E+01
    0.1113774935E-02    0.5708216090E+01    0.7654390992E+01
    0.1170879397E-02    0.5708176203E+01    0.7654350470E+01
    0.1230911668E-02    0.5708132147E+01    0.7654305712E+01
    0.1294021859E-02    0.5708083488E+01    0.7654256278E+01
    0.1360367778E-02    0.5708029751E+01    0.7654201685E+01
    0.1430115326E-02    0.5707970408E+01    0.7654141399E+01
    0.1503438906E-02    0.5707904882E+01    0.7654074829E+01
    0.1580521867E-02    0.5707832531E+01    0.7654001326E+01
    0.1661556956E-02    0.5707752650E+01    0.7653920173E+01
    0.1746746803E-02    0.5707664461E+01    0.7653830581E+01
    0.1836304427E-02    0.5707567107E+01    0.7653731677E+01
    0.1930453768E-02    0.5707459642E+01    0.7653622501E+01
    0.2029430249E-02    0.5707341025E+01    0.7653501995E+01
    0.2133481363E-02    0.5707210105E+01    0.7653368991E+01
    0.2242867292E-02    0.5707065619E+01    0.7653222205E+01
    0.2357861557E-02    0.5706906172E+01    0.7653060219E+01
    0.2478751704E-02    0.5706730227E+01    0.7652881473E+01
    0.2605840021E-02    0.5706536092E+01    0.7652684248E+01
    0.2739444296E-02    0.5706321905E+01    0.7652466651E+01
    0.2879898609E-02    0.5706085613E+01    0.7652226597E+01
    0.3027554168E-02    0.5705824959E+01    0.7651961793E+01
    0.3182780189E-02    0.5705537455E+01    0.7651669713E+01
    0.3345964819E-02    0.5705220368E+01    0.7651347578E+01
    0.3517516104E-02    0.5704870687E+01    0.7650992330E+01
    0.3697863011E-02    0.5704485102E+01    0.7650600607E+01
    0.3887456502E-02    0.5704059973E+01    0.7650168710E+01
    0.4086770659E-02    0.5703591298E+01    0.7649692575E+01
    0.4296303871E-02    0.5703074679E+01    0.7649167731E+01
    0.4516580081E-02    0.5702505281E+01    0.7648589269E+01
    0.4748150094E-02    0.5701877797E+01    0.7647951796E+01
    0.4991592955E-02    0.5701186395E+01    0.7647249389E+01
    0.5247517398E-02    0.5700424677E+01    0.7646475545E+01
    0.5516563369E-02    0.5699585617E+01    0.7645623129E+01
    0.5799403621E-02    0.5698661511E+01    0.7644684313E+01
