natx =      441
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.09725      0.08275     -1.82163   2      1.82610
      0.33249      0.53134      1.72321   2      1.83366
     -0.82111      4.21226      9.06639   3     10.03079
      2.84459      3.01188      9.14174   2     10.03666
      8.00386      3.02256      5.25039   2     10.03814
     -7.77876     -2.75716     -5.72589   2     10.04474
      6.74627     -7.09416     -2.28641   3     10.05321
     -5.74178      8.07535      1.77135   3     10.06563
      6.79029      7.22282     -1.87903   3     10.08999
     -7.80493      2.98721     -5.69834   2     10.11491
     -2.59978      9.20107      3.43089   3     10.15823
      2.71416      9.17766      3.43946   3     10.16986
      7.10991      4.70294     -5.56098   3     10.17806
      7.47091      6.69983      1.77946   3     10.19160
      1.45114      4.41462     -9.08515   3     10.20464
     -9.09920     -4.19568     -1.95982   3     10.20980
     -2.57169     -8.41935      5.17817   2     10.21335
      4.51899     -1.55553      9.04741   3     10.23213
     -8.73607      1.38654      5.17047   3     10.24574
     -7.83368     -5.50899     -3.72148   1     10.27448
      2.74225     -8.44277      5.18673   2     10.28117
      1.55484     -9.98689     -1.97023   3     10.29744
     -5.24221     -5.28169      7.14588   3     10.31701
     -3.44377      1.29162     -9.64391   3     10.32147
     -2.61950     -2.74648     -9.61724   2     10.33906
      8.13690      2.91696     -5.67264   2     10.33908
      8.16306     -2.82741     -5.70019   2     10.34997
      2.69444     -2.76990     -9.60867   2     10.35659
      2.66828      2.97447     -9.58113   2     10.38100
     -2.64566      2.99789     -9.58969   2     10.38985
      4.52352     -7.37141     -5.80308   3     10.41516
      5.38567     -5.32852      7.16301   3     10.42628
    -10.29540      0.57817      1.70608   2     10.45181
     -5.12081      0.32306      9.11233   2     10.45761
      1.35384     10.16240     -2.21235   3     10.48817
     -8.80575     -0.97118     -5.61423   3     10.48828
      8.10814     -5.57924     -3.69578   1     10.51326
     -9.24788      4.46483     -2.25703   3     10.51438
     -7.88601      5.97976     -3.66640   1     10.55411
     -2.43866     -8.52495     -5.74486   2     10.56529
      1.81761      4.79786      9.25340   3     10.58058
      2.66375      8.79035      5.26936   2     10.58924
      4.96460     -9.20460      1.70586   3     10.59631
     -2.65019      8.81377      5.26080   2     10.60104
      0.21930     -5.44473      9.09336   2     10.60106
     -7.82927      0.21127      7.17173   1     10.61960
     10.22620      2.26073      1.76951   3     10.62155
     -5.11017     -8.50495     -3.79178   1     10.62194
    -10.62790      0.04683     -0.01714   3     10.62802
     10.62790     -0.04683      0.01714   3     10.62802
      8.05581      5.90951     -3.64069   1     10.63358
      5.50707      0.27623      9.12947   2     10.66543
     -2.51715      8.70817     -5.66223   2     10.68780
      2.87528     -8.54837     -5.73630   2     10.68864
    -10.53060      0.12959     -1.83877   2     10.69072
      2.79679      8.68475     -5.65367   2     10.73363
     -5.26385     -5.35319     -7.67707   3     10.73788
      5.36403     -5.40003     -7.65993   3     10.79850
     -5.18866      8.72817     -3.70915   1     10.81022
      1.89634     -4.47617     -9.66289   3     10.81682
     -9.12894     -1.21141      5.69312   3     10.82667
     -3.86280      4.43804     -9.09371   3     10.83111
     -3.75910     -9.96347     -1.97880   3     10.83131
      8.11255      0.14102      7.19743   1     10.84603
      5.51771     -8.55179     -3.77465   1     10.85478
     10.72510      0.03592     -1.80450   2     10.87590
      2.23546    -10.50990      1.68826   3     10.87683
     -5.29454      6.20706      7.20096   3     10.88180
      5.33334      6.16022      7.21810   3     10.88549
      5.43922      8.68133     -3.69202   1     10.88952
     -5.66328     -9.15777      1.68872   3     10.89905
     -7.75143      2.77592      7.20377   3     10.94005
     -5.26785      0.06981     -9.58826   2     10.94029
     -7.72526     -2.96845      7.17622   3     10.95397
      4.49283      4.18884      9.07495   3     10.95840
     -7.85091      0.13977     -7.65122   1     10.96346
      0.16697      6.04402      9.14845   2     10.96596
     10.25240     -3.48365      1.74197   3     10.96731
      5.36004      0.02298     -9.57113   2     10.96983
     -8.47091      6.77008      1.75376   3     10.98481
     -3.49633      4.82128      9.24483   3     10.99709
     -6.10889     -1.50870      9.03028   3     11.00639
     -8.70991     -4.35783      5.14292   3     11.01376
     -0.03066      0.43742     11.04470   3     11.05340
     -3.07848    -10.48650      1.67969   3     11.05735
      0.20233     -8.49832      7.07493   1     11.05970
      0.38482    -10.95740      1.66812   2     11.09033
     10.53430      0.03667      3.46772   3     11.09044
      5.31170      6.08872     -7.60485   3     11.09596
     10.96040      0.48451      1.74034   2     11.10828
      8.09091      0.06951     -7.62552   1     11.11828
     -5.31618      6.13556     -7.62198   3     11.13559
     -3.96010     10.18580     -2.22092   3     11.15192
      0.07226     -5.69798     -9.60724   2     11.17011
      0.01993      5.79077     -9.55215   2     11.17036
     -6.10436     -7.32458     -5.82021   3     11.17083
     -3.41761     -4.45275     -9.67146   3     11.18232
     -7.77307      2.70442     -7.61918   3     11.21545
     -7.79115     -8.06895     -0.03956   3     11.21657
     10.57560      0.31908     -3.76107   3     11.22901
      8.19040      2.70567      7.22947   3     11.25471
    -10.72150      0.13034      3.43345   3     11.25860
      0.12384      8.73480      7.15756   1     11.29348
     -7.74690     -3.03995     -7.64672   3     11.30168
      6.83905     -7.02604      5.69128   3     11.33704
      8.21656     -3.03870      7.20192   3     11.34078
    -10.68020      0.41275     -3.79534   3     11.34203
      7.17959      7.06066      5.22371   3     11.34401
      7.16224     -6.78580     -5.61607   3     11.35275
     -0.11525      0.01200    -11.37240   3     11.37299
      0.19925     -2.71249     11.06730   1     11.39660
    -11.02960      2.35439      1.73524   3     11.41080
     -2.52426      0.28347     11.13760   1     11.42359
     -2.46365      8.49688      7.23988   3     11.43164
      6.79125     -1.35317     -9.10412   3     11.43841
    -10.45030     -2.73716     -3.77281   1     11.44268
     -0.86892      9.88513     -5.72902   3     11.45829
      8.16876      2.63417     -7.59348   3     11.45986
     -8.83191      4.77319     -5.58669   3     11.48900
      0.05233    -11.48870     -0.05509   3     11.48895
     -0.05233     11.48870      0.05509   3     11.48895
      2.78968      0.26005     11.14610   1     11.49285
     -7.58076      8.46304      1.73802   2     11.49398
      9.81129     -1.65045     -5.76697   3     11.49971
      0.17308      3.03188     11.09480   1     11.50291
      2.85029      8.47346      7.24844   3     11.50928
      8.15067     -8.13921     -0.01386   3     11.51870
    -10.47640      3.00721     -3.74526   1     11.52498
      1.86994     -6.69088      9.19831   3     11.52707
      1.94414    -10.14900      5.13251   3     11.53796
     -2.38516     -8.73624      7.15725   3     11.54284
      0.18069     -8.56982     -7.74801   1     11.55449
      0.14958    -11.40600     -1.87672   2     11.56033
      0.10220      8.66330     -7.66538   1     11.56811
     -2.48529      8.42537     -7.58307   3     11.60459
     -0.76878     -7.27649      9.01130   3     11.60784
      8.19492     -3.11021     -7.62102   3     11.61508
    -10.26920     -5.16620      1.67853   2     11.61738
