natx =      526
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      4.62874     -6.21312     -6.35123   2     10.01829
      4.62874      6.21312     -6.35123   2     10.01829
      6.64632     -3.10656      6.83372   2     10.02617
      6.64632      3.10656      6.83372   2     10.02617
     -7.78354     -6.21312      1.24453   1     10.03669
     -7.78354      6.21312      1.24453   1     10.03669
     -2.19022     -7.76640     -5.97082   2     10.03816
     -2.19022      7.76640     -5.97082   2     10.03816
     -9.11879      0.00000      4.29763   2     10.08077
     -6.51603     -3.10656     -7.07798   2     10.10976
     -6.51603      3.10656     -7.07798   2     10.10976
     -8.76319     -4.65984      1.96811   2     10.11835
     -8.76319      4.65984      1.96811   2     10.11835
      4.98434     -1.55328     -8.68075   2     10.12975
      4.98434      1.55328     -8.68075   2     10.12975
      8.95033     -3.10656      3.66371   2     10.15785
      8.95033      3.10656      3.66371   2     10.15785
     -1.99690     -9.31968     -3.54117   2     10.16779
     -1.99690      9.31968     -3.54117   2     10.16779
     -0.85497     -4.65984     -9.02392   1     10.19197
     -0.85497      4.65984     -9.02392   1     10.19197
     -1.10807     -6.21312      8.11745   1     10.28220
     -1.10807      6.21312      8.11745   1     10.28220
     -3.18769     -9.31968      3.07628   1     10.31898
     -3.18769      9.31968      3.07628   1     10.31898
     -6.99159      0.00000      7.59455   2     10.32277
     -5.73778     -7.76640      3.65099   1     10.32322
     -5.73778      7.76640      3.65099   1     10.32322
     -6.81895     -7.76640      0.38041   2     10.34214
     -6.81895      7.76640      0.38041   2     10.34214
      6.81895     -7.76640     -0.38041   2     10.34214
      6.81895      7.76640     -0.38041   2     10.34214
      4.77545     -3.10656      8.64034   2     10.34945
      4.77545      3.10656      8.64034   2     10.34945
     -2.04350     -4.65984      9.02076   2     10.35684
     -2.04350      4.65984      9.02076   2     10.35684
     -7.96089     -3.10656      5.86316   1     10.36355
     -7.96089      3.10656      5.86316   1     10.36355
      0.10962     -3.10656     -9.88803   2     10.36513
     -0.10962     -3.10656      9.88803   2     10.36513
      0.10962      3.10656     -9.88803   2     10.36513
     -0.10962      3.10656      9.88803   2     10.36513
      2.69068     -6.21312     -7.96572   2     10.45444
      2.69068      6.21312     -7.96572   2     10.45444
     -8.81586     -4.65984     -3.16076   2     10.46059
     -8.81586      4.65984     -3.16076   2     10.46059
     -0.16229     -9.31968      4.75916   2     10.46577
     -0.16229      9.31968      4.75916   2     10.46577
     -1.83462     -6.21312     -8.30034   2     10.52921
     -1.83462      6.21312     -8.30034   2     10.52921
     -9.11879     -3.10656      4.29763   2     10.54859
     -9.11879      3.10656      4.29763   2     10.54859
      7.12188      0.00000     -7.83880   2     10.59094
      4.88507     -9.31968     -1.24769   2     10.59609
      4.88507      9.31968     -1.24769   2     10.59609
     -0.17263     -7.76640      7.21413   2     10.60144
     -0.17263      7.76640      7.21413   2     10.60144
     -9.00917      0.00000     -5.59040   2     10.60272
      9.40002     -4.65984      1.54190   2     10.60434
      9.40002      4.65984      1.54190   2     10.60434
     -0.05267     -9.31968     -5.12887   2     10.63788
     -0.05267      9.31968     -5.12887   2     10.63788
      5.71089     -4.65984      7.73703   1     10.68597
      5.71089      4.65984      7.73703   1     10.68597
    -10.00660     -1.55328      3.45670   1     10.70016
    -10.00660      1.55328      3.45670   1     10.70016
     10.45020      0.00000      2.31546   1     10.70365
     -8.75284     -6.21312     -0.48686   2     10.74486
     -8.75284      6.21312     -0.48686   2     10.74486
      8.00974     -1.55328     -6.99787   1     10.74890
      8.00974      1.55328     -6.99787   1     10.74890
      0.30293     -7.76640     -7.45839   2     10.77202
      0.30293      7.76640     -7.45839   2     10.77202
     -6.99159     -3.10656      7.59455   2     10.78009
     -6.99159      3.10656      7.59455   2     10.78009
     -7.85127     -6.21312     -4.02487   1     10.79096
     -7.85127      6.21312     -4.02487   1     10.79096
      4.71243     -7.76640      5.96645   2     10.86842
      4.71243      7.76640      5.96645   2     10.86842
     -1.07420     -1.55328     10.75210   1     10.91670
     -1.07420      1.55328     10.75210   1     10.91670
      4.51912     -9.31968      3.53680   2     10.94476
      4.51912      9.31968      3.53680   2     10.94476
     -0.96459    -10.87300      0.86412   1     10.94985
     -0.96459     10.87300      0.86412   1     10.94985
      9.05994      0.00000     -6.22432   2     10.99203
      5.85437     -9.31968      0.48370   1     11.01654
      5.85437      9.31968      0.48370   1     11.01654
     -1.82427     -1.55328    -10.75530   2     11.01894
     -1.82427      1.55328    -10.75530   2     11.01894
      7.12188     -3.10656     -7.83880   2     11.03715
      7.12188      3.10656     -7.83880   2     11.03715
      4.98434     -4.65984     -8.68075   2     11.04143
      4.98434      4.65984     -8.68075   2     11.04143
     -9.00917     -3.10656     -5.59040   2     11.04846
     -9.00917      3.10656     -5.59040   2     11.04846
     -1.93389    -10.87300     -0.86728   2     11.07765
     -1.93389     10.87300     -0.86728   2     11.07765
     -7.81741     -7.76640     -1.39017   1     11.10682
     -7.81741      7.76640     -1.39017   1     11.10682
      6.65667     -7.76640      4.37875   2     11.12662
      6.65667      7.76640      4.37875   2     11.12662
      5.96399      0.00000     -9.40433   1     11.13600
      0.19331    -10.87300      2.42964   2     11.14283
      0.19331     10.87300      2.42964   2     11.14283
     10.45020     -3.10656      2.31546   1     11.14535
     10.45020      3.10656      2.31546   1     11.14535
     -0.06302    -10.87300     -2.67390   2     11.19714
     -0.06302     10.87300     -2.67390   2     11.19714
      3.74088     -7.76640     -7.19216   1     11.22668
      3.74088      7.76640     -7.19216   1     11.22668
     -8.92548     -1.55328      6.72727   2     11.28419
     -8.92548      1.55328      6.72727   2     11.28419
     -4.68758     -9.31968      4.42454   2     11.33165
     -4.68758      9.31968      4.42454   2     11.33165
    -11.05680      0.00000      2.68315   2     11.37770
      6.64632     -6.21312      6.83372   2     11.37876
      6.64632      6.21312      6.83372   2     11.37876
     -6.87162     -7.76640     -4.74846   2     11.40544
     -6.87162      7.76640     -4.74846   2     11.40544
      9.05994     -3.10656     -6.22432   2     11.42258
      9.05994      3.10656     -6.22432   2     11.42258
     -5.62817     -7.76640     -6.23704   1     11.44089
     -5.62817      7.76640     -6.23704   1     11.44089
      7.90013     -7.76640      2.89016   1     11.44911
      7.90013      7.76640      2.89016   1     11.44911
     -6.51603     -6.21312     -7.07798   2     11.45248
     -6.51603      6.21312     -7.07798   2     11.45248
     -2.10652     -9.31968      6.34686   2     11.47068
     -2.10652      9.31968      6.34686   2     11.47068
      1.19079     -9.31968     -6.61746   1     11.49196
      1.19079      9.31968     -6.61746   1     11.49196
      8.95033     -6.21312      3.66371   2     11.49496
      8.95033      6.21312      3.66371   2     11.49496
     -7.67392      0.00000     -8.64350   1     11.55851
      5.96399     -3.10656     -9.40433   1     11.56120
      5.96399      3.10656     -9.40433   1     11.56120
    -10.00660     -4.65984      3.45670   1     11.56698
    -10.00660      4.65984      3.45670   1     11.56698
      8.00974     -4.65984     -6.99787   1     11.61207
      8.00974      4.65984     -6.99787   1     11.61207
     -4.12828     -7.76640     -7.58530   2     11.61449
     -4.12828      7.76640     -7.58530   2     11.61449
     -6.98124     -7.76640      5.13958   2     11.63916
     -6.98124      7.76640      5.13958   2     11.63916
     -2.05385      0.00000     11.47570   2     11.65804
      4.77545     -6.21312      8.64034   2     11.66462
      4.77545      6.21312      8.64034   2     11.66462
     -7.96089     -6.21312      5.86316   1     11.67713
     -7.96089      6.21312      5.86316   1     11.67713
      0.10962     -6.21312     -9.88803   2     11.67853
     -0.10962     -6.21312      9.88803   2     11.67853
      0.10962      6.21312     -9.88803   2     11.67853
     -0.10962      6.21312      9.88803   2     11.67853
      6.76629     -7.76640     -5.50929   2     11.68126
      6.76629      7.76640     -5.50929   2     11.68126
     -0.88884      0.00000    -11.65860   1     11.69243
     11.69370      0.00000      0.82687   2     11.72290
     -7.92702     -1.55328      8.49786   1     11.72450
     -7.92702      1.55328      8.49786   1     11.72450
     -4.57797     -9.31968     -5.46349   2     11.73303
     -4.57797      9.31968     -5.46349   2     11.73303
     -6.70934     -1.55328     -9.50762   2     11.73979
     -6.70934      1.55328     -9.50762   2     11.73979
      6.70934     -1.55328      9.50762   2     11.73979
      6.70934      1.55328      9.50762   2     11.73979
     -1.07420     -4.65984     10.75210   1     11.76757
     -1.07420      4.65984     10.75210   1     11.76757
     -6.62564     -9.31968      2.81006   2     11.77506
     -6.62564      9.31968      2.81006   2     11.77506
      3.63126    -10.87300      2.69587   1     11.77607
      3.63126     10.87300      2.69587   1     11.77607
     -1.03232    -10.87300     -4.40529   1     11.77686
     -1.03232     10.87300     -4.40529   1     11.77686
     -2.29983    -10.87300      3.91722   2     11.78372
     -2.29983     10.87300      3.91722   2     11.78372
    -11.05680     -3.10656      2.68315   2     11.79419
    -11.05680      3.10656      2.68315   2     11.79419
      2.13137    -10.87300      4.04413   2     11.79491
      2.13137     10.87300      4.04413   2     11.79491
     -6.88197     -9.31968     -2.29348   2     11.81008
     -6.88197      9.31968     -2.29348   2     11.81008
     -8.65357     -1.55328     -7.91992   2     11.83309
     -8.65357      1.55328     -7.91992   2     11.83309
     -9.11879     -6.21312      4.29763   2     11.84166
     -9.11879      6.21312      4.29763   2     11.84166
      7.01227     -9.31968      2.04923   2     11.84178
      7.01227      9.31968      2.04923   2     11.84178
      5.74475      0.00000     10.37170   1     11.85640
     -1.82427     -4.65984    -10.75530   2     11.86248
     -1.82427      4.65984    -10.75530   2     11.86248
     11.33810     -1.55328      3.15639   2     11.87131
     11.33810      1.55328      3.15639   2     11.87131
     -8.76319     -7.76640      1.96811   2     11.87367
     -8.76319      7.76640      1.96811   2     11.87367
     -4.23789    -10.87300      2.30273   2     11.89472
     -4.23789     10.87300      2.30273   2     11.89472
     -9.89703     -1.55328     -6.43134   1     11.90487
     -9.89703      1.55328     -6.43134   1     11.90487
      6.75594     -9.31968     -3.05431   2     11.90915
      6.75594      9.31968     -3.05431   2     11.90915
     11.70400     -1.55328     -1.62810   2     11.91835
     11.70400      1.55328     -1.62810   2     11.91835
     -0.85497     -7.76640     -9.02392   1     11.93646
     -0.85497      7.76640     -9.02392   1     11.93646
     -3.07807     -9.31968     -6.81175   1     11.94700
     -3.07807      9.31968     -6.81175   1     11.94700
      5.78664     -9.31968     -4.78570   1     11.96848
      5.78664      9.31968     -4.78570   1     11.96848
     -7.67392     -3.10656     -8.64350   1     11.96870
     -7.67392      3.10656     -8.64350   1     11.96870
      4.87472    -10.87300      1.20728   2     11.97675
      4.87472     10.87300      1.20728   2     11.97675
     -0.96459     -1.55328      0.86412   1      2.02233
     -0.96459      1.55328      0.86412   1      2.02233
     -0.99845      0.00000     -1.77059   1      2.03271
     -1.94424      0.00000      1.58770   2      2.51015
     -1.93389     -1.55328     -0.86728   2      2.62769
     -1.93389      1.55328     -0.86728   2      2.62769
      0.19331     -1.55328      2.42964   2      2.89019
      0.19331      1.55328      2.42964   2      2.89019
     -0.06302     -1.55328     -2.67390   2      3.09296
     -0.06302      1.55328     -2.67390   2      3.09296
      0.00000     -3.10656      0.00000   2      3.10656
