natx =      571
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      2.16175     -7.82820     -5.85179   3     10.00986
      2.16175      7.82820     -5.85179   3     10.00986
      0.98318     -9.39384      3.32991   2     10.01495
      0.98318      9.39384      3.32991   2     10.01495
     -6.27224     -7.82820      0.39447   3     10.03879
     -6.27224      7.82820      0.39447   3     10.03879
      5.87549     -7.82820     -2.23658   2     10.04014
      5.87549      7.82820     -2.23658   2     10.04014
     -2.09043     -7.82820     -5.97076   3     10.06482
     -2.09043      7.82820     -5.97076   3     10.06482
     -8.47713     -4.69692     -3.05241   3     10.16071
     -8.47713      4.69692     -3.05241   3     10.16071
      4.80600     -1.56564     -8.81786   3     10.16383
      4.80600      1.56564     -8.81786   3     10.16383
     -8.60925      0.00000     -5.49110   3     10.21134
     -7.64006     -3.13128      6.04263   2     10.23175
     -7.64006      3.13128      6.04263   2     10.23175
     -2.20489     -9.39384     -3.44688   3     10.24630
     -2.20489      9.39384     -3.44688   3     10.24630
     -0.83707     -4.69692     -9.09504   2     10.27042
     -0.83707      4.69692     -9.09504   2     10.27042
     -5.51102     -7.82820      3.74318   2     10.27927
     -5.51102      7.82820      3.74318   2     10.27927
     -8.73073     -3.13128      4.45942   3     10.29160
     -8.73073      3.13128      4.45942   3     10.29160
      9.05350     -4.69692      1.40976   3     10.29633
      9.05350      4.69692      1.40976   3     10.29633
      4.82095     -3.13128      8.56451   3     10.31491
      4.82095      3.13128      8.56451   3     10.31491
     -4.26025     -9.39384      0.27535   1     10.31842
     -4.26025      9.39384      0.27535   1     10.31842
     10.05810      0.00000      2.35625   2     10.33041
     -8.20324     -6.26256     -0.58733   3     10.33720
     -8.20324      6.26256     -0.58733   3     10.33720
     -9.58179     -1.56564      3.56820   2     10.34379
     -9.58179      1.56564      3.56820   2     10.34379
     -6.10836     -3.13128      7.73823   3     10.34394
     -6.10836      3.13128      7.73823   3     10.34394
      7.03731     -3.13128      6.93955   3     10.36755
      7.03731      3.13128      6.93955   3     10.36755
     -3.08759     -9.39384      3.15492   2     10.37935
     -3.08759      9.39384      3.15492   2     10.37935
      6.88045      0.00000     -7.83085   3     10.42415
      6.87343     -7.82820     -0.40421   3     10.42536
      6.87343      7.82820     -0.40421   3     10.42536
      0.12148     -3.13128     -9.95052   3     10.43228
     -0.12148     -3.13128      9.95052   3     10.43228
      0.12148      3.13128     -9.95052   3     10.43228
     -0.12148      3.13128      9.95052   3     10.43228
      2.62826     -6.26256     -7.94982   3     10.45596
      2.62826      6.26256     -7.94982   3     10.45596
     -1.32843     -6.26256      8.33601   2     10.51063
     -1.32843      6.26256      8.33601   2     10.51063
     -4.13877      0.00000     -9.67517   1     10.52323
     -7.51858     -6.26256     -3.90789   2     10.53662
     -7.51858      6.26256     -3.90789   2     10.53662
      7.75613     -1.56564     -7.00601   2     10.56849
      7.75613      1.56564     -7.00601   2     10.56849
     -2.61173     -4.69692      9.11040   3     10.57741
     -2.61173      4.69692      9.11040   3     10.57741
     -0.13746     -9.39384      4.96677   3     10.62694
     -0.13746      9.39384      4.96677   3     10.62694
     -0.01598     -9.39384     -4.98375   3     10.63401
     -0.01598      9.39384     -4.98375   3     10.63401
      8.76070      0.00000     -6.05952   3     10.65212
      8.80731     -1.56564      5.82409   1     10.67427
      8.80731      1.56564      5.82409   1     10.67427
     -8.60925     -3.13128     -5.49110   3     10.68065
     -8.60925      3.13128     -5.49110   3     10.68065
     -1.91063     -6.26256     -8.44124   3     10.68292
     -1.91063      6.26256     -8.44124   3     10.68292
      4.94243     -9.39384     -1.38601   3     10.70481
      4.94243      9.39384     -1.38601   3     10.70481
      5.75401     -4.69692      7.71394   2     10.70862
      5.75401      4.69692      7.71394   2     10.70862
     -7.27018     -7.82820     -1.43790   2     10.77979
     -7.27018      7.82820     -1.43790   2     10.77979
     10.05810     -3.13128      2.35625   2     10.79455
     10.05810      3.13128      2.35625   2     10.79455
     -0.39537     -7.82820      7.48544   3     10.83830
     -0.39537      7.82820      7.48544   3     10.83830
      0.25360     -7.82820     -7.51183   3     10.85231
      0.25360      7.82820     -7.51183   3     10.85231
      8.88542     -6.26256     -0.52333   1     10.88321
      8.88542      6.26256     -0.52333   1     10.88321
      6.88045     -3.13128     -7.83085   3     10.88429
      6.88045      3.13128     -7.83085   3     10.88429
     10.65540     -1.56564     -1.63879   3     10.89378
     10.65540      1.56564     -1.63879   3     10.89378
