natx =      601
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.98939     -9.43774     -3.17425   2     10.00628
      0.98939      9.43774     -3.17425   2     10.00628
     -6.64085      0.00000      7.52794   3     10.03846
      3.15497     -7.86479     -5.40392   2     10.05043
      3.15497      7.86479     -5.40392   2     10.05043
      4.47333      0.00000     -9.02934   1     10.07669
     -2.25782     -6.29183      7.55483   1     10.08763
     -2.25782      6.29183      7.55483   1     10.08763
     -5.62055     -7.86479     -2.89913   2     10.09210
     -5.62055      7.86479     -2.89913   2     10.09210
     -1.90067     -9.43774      3.05248   3     10.09956
     -1.90067      9.43774      3.05248   3     10.09956
      1.11540     -4.71887      8.87141   2     10.11008
      1.11540      4.71887      8.87141   2     10.11008
     -0.00765     -3.14592     -9.60866   3     10.11055
      0.00765     -3.14592      9.60866   3     10.11055
     -0.00765      3.14592     -9.60866   3     10.11055
      0.00765      3.14592      9.60866   3     10.11055
      6.73703      0.00000     -7.55901   3     10.12552
      8.78423     -4.71887     -1.82000   3     10.13621
      8.78423      4.71887     -1.82000   3     10.13621
      8.54240      0.00000      5.49781   3     10.15867
      1.21847     -6.29183     -7.90892   2     10.17953
      1.21847      6.29183     -7.90892   2     10.17953
      6.49520     -7.86479     -0.24120   3     10.20298
      6.49520      7.86479     -0.24120   3     10.20298
      2.38232     -4.71887     -8.73757   3     10.21216
      2.38232      4.71887     -8.73757   3     10.21216
     -8.45980     -4.71887      3.23434   3     10.21259
     -8.45980      4.71887      3.23434   3     10.21259
     -6.56872     -7.86479      0.34548   3     10.25292
     -6.56872      7.86479      0.34548   3     10.25292
      2.36202     -9.43774      3.28007   3     10.26689
      2.36202      9.43774      3.28007   3     10.26689
     -8.94775     -3.14592     -3.94031   3     10.27059
     -8.94775      3.14592     -3.94031   3     10.27059
      5.56194     -6.29183     -5.96015   2     10.29785
      5.56194      6.29183     -5.96015   2     10.29785
     -5.23552     -4.71887     -7.59736   2     10.36331
     -5.23552      4.71887     -7.59736   2     10.36331
     -4.19992     -9.43774      1.19290   3     10.39872
     -4.19992      9.43774      1.19290   3     10.39872
      4.48097     -9.43774      0.57932   1     10.46354
      4.48097      9.43774      0.57932   1     10.46354
      9.71749      0.00000      3.89894   2     10.47050
     -4.27205     -4.71887      8.37535   3     10.51973
     -4.27205      4.71887      8.37535   3     10.51973
     -6.64085     -3.14592      7.52794   3     10.51987
     -6.64085      3.14592      7.52794   3     10.51987
      2.22315     -6.29183      8.13415   3     10.52112
      2.22315      6.29183      8.13415   3     10.52112
      1.10010     -1.57296    -10.34590   2     10.52246
      1.10010      1.57296    -10.34590   2     10.52246
      8.91331     -4.71887      3.00855   3     10.52455
      8.91331      4.71887      3.00855   3     10.52455
      4.47333     -3.14592     -9.02934   1     10.55635
      4.47333      3.14592     -9.02934   1     10.55635
     -0.14652     -9.43774     -4.75458   3     10.56875
     -0.14652      9.43774     -4.75458   3     10.56875
     -8.94011      0.00000      5.66836   3     10.58564
      6.73703     -3.14592     -7.55901   3     10.60297
      6.73703      3.14592     -7.55901   3     10.60297
     -0.13887     -9.43774      4.85408   3     10.61378
     -0.13887      9.43774      4.85408   3     10.61378
      8.54240     -3.14592      5.49781   3     10.63463
      8.54240      3.14592      5.49781   3     10.63463
     -5.41657      0.00000      9.16475   2     10.64574
     -7.49434     -6.29183      4.23520   2     10.66251
     -7.49434      6.29183      4.23520   2     10.66251
      0.22946     -7.86479     -7.22087   3     10.67935
      0.22946      7.86479     -7.22087   3     10.67935
     -8.58295     -6.29183      1.16601   1     10.70578
     -8.58295      6.29183      1.16601   1     10.70578
     -0.16682     -7.86479      7.26305   3     10.70676
     -0.16682      7.86479      7.26305   3     10.70676
     -8.46744     -1.57296     -6.37432   3     10.71465
     -8.46744      1.57296     -6.37432   3     10.71465
      7.45102     -4.71887      6.12284   2     10.73660
      7.45102      4.71887      6.12284   2     10.73660
     -4.15826     -7.86479     -6.01342   3     10.73812
     -4.15826      7.86479     -6.01342   3     10.73812
      2.39761     -1.57296     10.47980   3     10.86503
      2.39761      1.57296     10.47980   3     10.86503
    -10.84840      0.00000     -0.88783   3     10.88467
      8.86400     -6.29183      0.60621   3     10.88692
      8.86400      6.29183      0.60621   3     10.88692
    -10.67400     -1.57296      1.45778   3     10.88731
    -10.67400      1.57296      1.45778   3     10.88731
     -5.42421     -9.43774     -0.44391   2     10.89450
