natx =      603
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      9.46656     -3.15151      0.81305   3     10.01044
      9.46656      3.15151      0.81305   3     10.01044
     -5.99302     -3.15151     -7.37542   3     10.01225
     -5.99302      3.15151     -7.37542   3     10.01225
      4.32945     -4.72727      7.72427   3     10.03771
      4.32945      4.72727      7.72427   3     10.03771
     -0.79623     -9.45454     -3.38366   2     10.07330
     -0.79623      9.45454     -3.38366   2     10.07330
     -3.35589     -9.45454      1.39672   3     10.12922
     -3.35589      9.45454      1.39672   3     10.12922
      2.51606     -7.87879      5.85452   3     10.13318
      2.51606      7.87879      5.85452   3     10.13318
     -6.36717     -7.87879      0.32750   3     10.13526
     -6.36717      7.87879      0.32750   3     10.13526
     -2.03973     -1.57576      9.82774   1     10.16012
     -2.03973      1.57576      9.82774   1     10.16012
      6.45528     -7.87879     -0.25616   3     10.18880
      6.45528      7.87879     -0.25616   3     10.18880
     -6.28146     -3.15151      7.44986   3     10.24154
     -6.28146      3.15151      7.44986   3     10.24154
      1.13154     -4.72727      9.01996   2     10.24632
      1.13154      4.72727      9.01996   2     10.24632
     -1.81992     -9.45454      3.54721   1     10.26076
     -1.81992      9.45454      3.54721   1     10.26076
     -2.12161     -1.57576     -9.91768   1     10.26375
     -2.12161      1.57576     -9.91768   1     10.26375
      9.53982     -1.57576     -3.50461   2     10.28462
      9.53982      1.57576     -3.50461   2     10.28462
      2.42478     -9.45454      3.34874   3     10.31901
      2.42478      9.45454      3.34874   3     10.31901
      8.77513     -3.15151     -4.42679   3     10.32140
      8.77513      3.15151     -4.42679   3     10.32140
      7.75059     -3.15151     -6.08879   2     10.34780
      7.75059      3.15151     -6.08879   2     10.34780
     -9.52572     -3.15151     -2.55535   2     10.35380
     -9.52572      3.15151     -2.55535   2     10.35380
      8.81607      0.00000      5.44592   3     10.36249
     -0.04094     -3.15151     -9.87271   3     10.36359
      0.04094     -3.15151      9.87271   3     10.36359
     -0.04094      3.15151     -9.87271   3     10.36359
      0.04094      3.15151      9.87271   3     10.36359
     -2.28148     -6.30303      7.91316   3     10.37070
     -2.28148      6.30303      7.91316   3     10.37070
      1.19733     -6.30303     -8.15958   2     10.37981
      1.19733      6.30303     -8.15958   2     10.37981
      4.34750     -9.45454     -0.04952   1     10.40632
      4.34750      9.45454     -0.04952   1     10.40632
      5.62430     -7.87879     -3.83840   2     10.41352
      5.62430      7.87879     -3.83840   2     10.41352
      2.28409     -4.72727     -9.01411   3     10.43160
      2.28409      4.72727     -9.01411   3     10.43160
     -8.15653     -3.15151      5.78318   3     10.48361
     -8.15653      3.15151      5.78318   3     10.48361
      6.82943      0.00000     -7.95909   3     10.48753
      3.29673     -9.45454     -3.13902   2     10.49334
      3.29673      9.45454     -3.13902   2     10.49334
      8.95525     -4.72727      2.99500   3     10.56000
      8.95525      4.72727      2.99500   3     10.56000
     -4.88758     -4.72727     -8.08309   2     10.56276
     -4.88758      4.72727     -8.08309   2     10.56276
     -8.47495     -6.30303      0.53414   1     10.57536
     -8.47495      6.30303      0.53414   1     10.57536
      0.41247     -9.45454      4.91384   3     10.66322
      0.41247      9.45454      4.91384   3     10.66322
    -10.63690      0.00000     -0.88388   3     10.67356
      0.37153     -9.45454     -4.95887   3     10.68254
      0.37153      9.45454     -4.95887   3     10.68254
      7.79153     -6.30303      3.78392   2     10.71234
      7.79153      6.30303      3.78392   2     10.71234
    -10.49740     -1.57576      1.44226   3     10.71254
    -10.49740      1.57576      1.44226   3     10.71254
     -5.43058      0.00000      9.24019   2     10.71785
     -4.36363     -4.72727      8.57342   3     10.71876
     -4.36363      4.72727      8.57342   3     10.71876
      2.22645     -6.30303      8.40516   3     10.73927
      2.22645      6.30303      8.40516   3     10.73927
      4.38843      0.00000      9.82318   1     10.75887
      0.06550     -7.87879     -7.33614   3     10.76562
      0.06550      7.87879     -7.33614   3     10.76562
     10.50000      0.00000     -2.54322   3     10.80361
     -3.90813     -7.87879     -6.29404   3     10.81498
     -3.90813      7.87879     -6.29404   3     10.81498
      4.30656      0.00000     -9.92224   1     10.81653
      0.01197     -7.87879      7.42357   3     10.82520
      0.01197      7.87879      7.42357   3     10.82520
      8.81607     -3.15151      5.44592   3     10.83112
      8.81607      3.15151      5.44592   3     10.83112
     -7.15721     -4.72727      6.61798   2     10.83376
     -7.15721      4.72727      6.61798   2     10.83376
     10.74180     -1.57576     -0.62864   1     10.87495
     10.74180      1.57576     -0.62864   1     10.87495
      1.04966     -1.57576    -10.72550   2     10.89133
      1.04966      1.57576    -10.72550   2     10.89133
     -5.47152     -9.45454     -0.63252   2     10.94193
     -5.47152      9.45454     -0.63252   2     10.94193
      6.82943     -3.15151     -7.95909   3     10.95081
      6.82943      3.15151     -7.95909   3     10.95081
     -4.04732     -9.45454     -3.84312   3     10.97901
     -4.04732      9.45454     -3.84312   3     10.97901
     -3.24169     -7.87879      6.95177   2     10.99595
     -3.24169      7.87879      6.95177   2     10.99595
    -10.34730     -1.57576     -3.43452   3     11.01570
    -10.34730      1.57576     -3.43452   3     11.01570
     -2.03973     -4.72727      9.82774   1     11.09469
     -2.03973      4.72727      9.82774   1     11.09469
     -3.39683     -6.30303     -8.47599   3     11.09545
     -3.39683      6.30303     -8.47599   3     11.09545
      2.36596     -1.57576     10.73130   3     11.10142
      2.36596      1.57576     10.73130   3     11.10142
    -10.39770      0.00000      3.93241   3     11.11647
      1.09060    -11.03030     -0.85275   2     11.11684
      1.09060     11.03030     -0.85275   2     11.11684
